popup.maintenance.body,The service is currently under maintenance.,현재 서비스 점검 중입니다.,服务当前正在维护。,服務目前正在維護。,ขณะนี้บริการอยู่ระหว่างการปิดปรับปรุง
popup.auth_internal_error.body,Authentication service is temporarily unavailable. Please try again.,인증 서비스를 일시적으로 사용할 수 없습니다. 다시 시도해 주세요.,认证服务暂时不可用。请重试。,驗證服務暫時無法使用。請重試。,บริการยืนยันตัวตนไม่พร้อมใช้งานชั่วคราว โปรดลองอีกครั้ง
popup.session.title,Session Expired,세션 만료,会话已过期,工作階段已過期,เซสชันหมดอายุ
popup.session.body,Please return to the title screen and sign in again.,타이틀 화면으로 돌아가 다시 로그인해 주세요.,请返回标题画面并重新登录。,請返回標題畫面並重新登入。,กรุณากลับไปที่หน้าแรกแล้วลงชื่อเข้าใช้อีกครั้ง
popup.settings.title,Settings,설정,设置,設定,การตั้งค่า
popup.settings.bgm,BGM,배경음악,背景音乐,背景音樂,เพลงพื้นหลัง
popup.settings.sfx,SFX,효과음,音效,音效,เอฟเฟกต์เสียง
popup.settings.haptics,Haptics,햅틱,触觉反馈,觸覺回饋,การสั่นตอบสนอง
popup.settings.notif,Notifications,알림,通知,通知,การแจ้งเตือน
popup.energy.title,Energy,에너지,能量,能量,พลังงาน
popup.energy.full_in_fmt,Full recharge soon,곧 완전히 충전됩니다,即将充满,即將充滿,จะชาร์จเต็มเร็วๆ นี้
popup.energy.watch_ad_fmt,Watch Ad,광고 보기,观看广告,觀看廣告,ดูโฆษณา
popup.energy.refill_fmt,Refill,충전,补充,補充,เติม
popup.stage.title_fmt,Stage Detail,스테이지 상세,关卡详情,關卡詳情,รายละเอียดด่าน
popup.stage.title_n_fmt,Stage {0},스테이지 {0},关卡 {0},關卡 {0},ด่าน {0}
popup.daily.title,Daily Challenge,일일 챌린지,每日挑战,每日挑戰,ชาเลนจ์รายวัน
popup.daily.today_fmt,Today's progress,오늘의 진행도,今日进度,今日進度,ความคืบหน้าวันนี้
popup.daily.reward_fmt,Reward,보상,奖励,獎勵,รางวัล
popup.reward.title,Reward,보상,奖励,獎勵,รางวัล
popup.reward.x2,Claim x2,2배로 받기,领取 x2,領取 x2,รับ x2
popup.account.title,Account,계정,账号,帳號,บัญชี
popup.account.joined_fmt,Joined,가입일,加入时间,加入時間,เข้าร่วมเมื่อ
popup.account.guest,Guest,게스트,访客,訪客,ผู้เยี่ยมชม
popup.clear.title,Stage Clear,스테이지 클리어,关卡完成,關卡完成,ผ่านด่านแล้ว
popup.clear.retry,Retry,다시하기,重试,重試,ลองใหม่
popup.pause.title,Paused,일시정지,暂停,暫停,หยุดชั่วคราว
popup.pause.retry,Retry,다시하기,重试,重試,ลองใหม่
popup.timeout.title,Time's Up,시간 초과,时间到,時間到,หมดเวลา
popup.timeout.extend_desc,+20 sec,+20초,+20秒,+20秒,+20 วินาที
popup.return_title.title,Return to Title,타이틀로 돌아가기,返回标题,返回標題,กลับหน้าแรก
popup.return_title.body,Go back to the title screen?,타이틀 화면으로 돌아갈까요?,返回标题画面?,返回標題畫面?,กลับไปหน้าแรก?
popup.exit_game.title,Exit Game,게임 종료,退出游戏,結束遊戲,ออกจากเกม
popup.exit_game.body,Close Project Link?,Project Link를 닫을까요?,关闭 Project Link?,關閉 Project Link?,ปิด Project Link?
app_title,PROJECT LINK,프로젝트 링크,项目连接,專案連線,โปรเจกต์ลิงก์
bootstrap_syncing_puzzle_data,SYNCING PUZZLE DATA,퍼즐 데이터 동기화 중,正在同步拼图数据,正在同步拼圖資料,กำลังซิงก์ข้อมูลปริศนา
status_data,DATA,데이터,数据,資料,ข้อมูล
status_packets,PACKETS,패킷,数据包,封包,แพ็กเก็ต
status_account,ACCOUNT,계정,账号,帳號,บัญชี
bootstrap_server_ready,v0.1.0   SERVER READY,v0.1.0   서버 준비 완료,v0.1.0   服务器就绪,v0.1.0   伺服器就緒,v0.1.0   เซิร์ฟเวอร์พร้อม
title_tagline,CONNECT COLORS. CLEAR THE FLOW.,색을 잇고 흐름을 완성하세요.,连接颜色。清除通路。,連接顏色。清出通路。,เชื่อมสีให้ครบ เคลียร์เส้นทาง
title_tap_to_start,TAP TO START,탭해서 시작,点击开始,點擊開始,แตะเพื่อเริ่ม
title_guest_profile_region,GUEST PROFILE  |  US REGION,게스트 프로필  |  한국 지역,游客档案  |  中国大陆地区,訪客檔案  |  台灣地區,โปรไฟล์ผู้เยี่ยมชม  |  ไทย
footer_notice,NOTICE,공지,公告,公告,ประกาศ
footer_terms,TERMS,약관,条款,條款,ข้อกำหนด
footer_server,SERVER,서버,服务器,伺服器,เซิร์ฟเวอร์
lobby_player,PLAYER,플레이어,玩家,玩家,ผู้เล่น
lobby_title_button,TITLE,타이틀,标题,標題,หน้าแรก
lobby_stage_map,STAGE MAP,스테이지 맵,关卡地图,關卡地圖,แผนที่ด่าน
lobby_world_1,WORLD 1 - STREAM GARDEN,월드 1 - 흐름의 정원,世界 1 - 溪流花园,世界 1 - 溪流花園,โลก 1 - สวนสายน้ำ
lobby_daily,DAILY,일일,每日,每日,รายวัน
lobby_event,EVENT,이벤트,活动,活動,อีเวนต์
lobby_season,SEASON,시즌,赛季,賽季,ซีซัน
lobby_play_stage,PLAY STAGE,스테이지 플레이,开始关卡,開始關卡,เล่นด่าน
nav_home,HOME,홈,主页,首頁,หน้าแรก
nav_stage,STAGE,스테이지,关卡,關卡,ด่าน
nav_shop,SHOP,상점,商店,商店,ร้านค้า
nav_bag,BAG,가방,背包,背包,กระเป๋า
game_drag_hint,DRAG BETWEEN MATCHING NODES,같은 색 노드를 드래그로 연결하세요,拖动连接相同节点,拖曳連接相同節點,ลากเชื่อมโหนดที่ตรงกัน
game_stage_clear,STAGE CLEAR,스테이지 클리어,关卡完成,關卡完成,ผ่านด่านแล้ว
game_paused,PAUSED,일시정지,暂停,暫停,หยุดชั่วคราว
game_next,NEXT,다음,下一关,下一關,ต่อไป
game_retry,RETRY,다시하기,重试,重試,ลองใหม่
game_lobby,LOBBY,로비,大厅,大廳,ล็อบบี้
game_resume,RESUME,계속,继续,繼續,เล่นต่อ
game_time_up,TIME'S UP,시간 초과,时间到,時間到,หมดเวลา
popup_cancel,CANCEL,취소,取消,取消,ยกเลิก
popup_exit_title,EXIT GAME,게임 종료,退出游戏,結束遊戲,ออกจากเกม
popup_exit_message,Close Project Link and return to your device?,프로젝트 링크를 닫고 기기로 돌아갈까요?,关闭项目连接并返回设备?,關閉專案連線並返回裝置?,ปิดโปรเจกต์ลิงก์แล้วกลับไปยังอุปกรณ์?
popup_exit_confirm,EXIT,종료,退出,結束,ออก
popup_return_title,RETURN TO TITLE,타이틀로 돌아가기,返回标题,返回標題,กลับหน้าแรก
popup_return_message,Current lobby selection will be kept. Move back to the title screen?,현재 로비 선택은 유지됩니다. 타이틀 화면으로 돌아갈까요?,当前大厅选择将保留。返回标题画面?,目前大廳選擇會保留。返回標題畫面?,จะเก็บการเลือกในล็อบบี้ไว้ กลับไปหน้าแรก?
popup_return_confirm,GO TO TITLE,타이틀로 이동,前往标题,前往標題,ไปหน้าแรก
popup_session_expired_title,SESSION EXPIRED,세션 만료,会话已过期,工作階段已過期,เซสชันหมดอายุ
popup_session_expired_message,Your session has expired. Please return to the title screen.,세션이 만료되었습니다. 타이틀 화면으로 돌아가세요.,您的会话已过期。请返回标题画面。,您的工作階段已過期。請返回標題畫面。,เซสชันของคุณหมดอายุแล้ว กรุณากลับไปหน้าแรก
language_en,EN,영어,英语,英文,อังกฤษ
language_ko,KO,한국어,韩语,韓文,เกาหลี
language_zh_cn,ZH-CN,중국어 간체,简体中文,簡體中文,จีนตัวย่อ
language_zh_tw,ZH-TW,중국어 번체,繁体中文,繁體中文,จีนตัวเต็ม
language_th,TH,태국어,泰语,泰文,ไทย
country_us,US,US,US,US,US
country_kr,KR,KR,KR,KR,KR
country_cn,CN,CN,CN,CN,CN
country_tw,TW,TW,TW,TW,TW
country_th,TH,TH,TH,TH,TH
ui_color,Color,색상,颜色,顏色,สี
ui_paths,Paths,경로,路径,路徑,เส้นทาง
ui_start,Start,시작,开始,開始,เริ่ม
ui_play,Play,플레이,开始,開始,เล่น
ui_buy,Buy,구매,购买,購買,ซื้อ
ui_close,Close,닫기,关闭,關閉,ปิด
ui_save,Save,저장,保存,儲存,บันทึก
bootstrap_loading,Loading...,로딩 중...,加载中...,載入中...,กำลังโหลด...
settings_bgm,BGM,배경음악,背景音乐,背景音樂,เพลงพื้นหลัง
settings_sfx,SFX,효과음,音效,音效,เอฟเฟกต์เสียง
settings_haptics,Haptics,햅틱,触觉反馈,觸覺回饋,การสั่นตอบสนอง
settings_notifications,Notifications,알림,通知,通知,การแจ้งเตือน
settings_language,Language,언어,语言,語言,ภาษา
settings_account,Account,계정,账号,帳號,บัญชี
settings_not_linked,Not linked,연동되지 않음,未绑定,未連結,ยังไม่ได้เชื่อมต่อ
settings_link,Link,연동,绑定,連結,เชื่อมต่อ
popup_buy_item_title,Buy Item,아이템 구매,购买道具,購買道具,ซื้อไอเทม
popup_buy_item_hint_desc,Reveal a path when stuck!,막혔을 때 경로를 보여줍니다!,卡住时显示路径！,卡住時顯示路徑！,แสดงเส้นทางเมื่อคุณติดขัด!
popup_refill,Refill,충전,补充,補充,เติม
popup_energy_empty,You're out of energy! Refill to keep playing.,에너지가 부족합니다! 계속 플레이하려면 충전하세요.,能量不足！补充后继续游戏。,能量不足！補充後繼續遊戲。,พลังงานหมดแล้ว! เติมเพื่อเล่นต่อ
popup_watch_ad,Watch Ad,광고 보기,观看广告,觀看廣告,ดูโฆษณา
lobby_daily_challenge,Daily Challenge,일일 챌린지,每日挑战,每日挑戰,ชาเลนจ์รายวัน
lobby_color_cup,Color Cup,컬러 컵,色彩杯,色彩盃,คัลเลอร์คัพ
lobby_current_stage,Current Stage,현재 스테이지,当前关卡,目前關卡,ด่านปัจจุบัน
nav_ranking,Ranking,랭킹,排行榜,排行榜,อันดับ
game_level,Level,레벨,等级,等級,เลเวล
game_hint,Hint,힌트,提示,提示,คำใบ้
game_undo,Undo,되돌리기,撤销,復原,ย้อนกลับ
item_paint,Paint,페인트,颜料,顏料,สีทา
item_shuffle,Shuffle,셔플,洗牌,洗牌,สับเปลี่ยน
item_hammer,Hammer,망치,锤子,錘子,ค้อน
streak.popup.title,Streak Challenge,연속 챌린지,连续挑战,連續挑戰,สตรีคชาเลนจ์
streak.status_inactive,Start to unlock rewards!,보상을 잠금 해제하려면 시작하세요!,开始解锁奖励！,開始解鎖獎勵！,เริ่มเพื่อปลดล็อกรางวัล!
streak.activate,Activate,시작하기,开始,開始,เริ่มต้น
streak.start_level,Start Level {0},레벨 {0} 시작하기,开始关卡 {0},開始關卡 {0},เริ่มด่าน {0}
streak.claim,Claim Reward,수령하기,领取奖励,領取獎勵,รับรางวัล
popup.clear.label_stage,Stage,스테이지,关卡,關卡,ด่าน
popup.clear.label_score,Score,점수,得分,得分,คะแนน
popup.clear.label_moves,Moves,이동 횟수,步数,步數,การเคลื่อนที่
popup.clear.label_time,Time,시간,时间,時間,เวลา
popup.clear.label_reward,Reward,보상,奖励,獎勵,รางวัล
popup.clear.rank_top_fmt,Top {0}%,상위 {0}%,前 {0}%,前 {0}%,อันดับต้น {0}%
popup.clear.failed,Stage Failed,스테이지 실패,关卡失败,關卡失敗,ด่านล้มเหลว
popup.stage.no_rank,No ranking yet,아직 순위 없음,暂无排名,尚無排名,ยังไม่มีอันดับ
shop.section_items,Items,아이템,道具,道具,ไอเทม
shop.section_bm,Premium,프리미엄,高级,高級,พรีเมียม
popup.clear.level_fmt,LEVEL {0},LEVEL {0},LEVEL {0},LEVEL {0},LEVEL {0}
popup.clear.perfect,PERFECT!,PERFECT!,PERFECT!,PERFECT!,PERFECT!
popup.clear.try_again,TRY AGAIN!,TRY AGAIN!,TRY AGAIN!,TRY AGAIN!,TRY AGAIN!
popup.clear.best,BEST,BEST,BEST,BEST,BEST
popup.clear.next,NEXT,NEXT,NEXT,NEXT,NEXT
popup.clear.double,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
popup.clear.add_moves,+5 MOVES,+5 MOVES,+5 MOVES,+5 MOVES,+5 MOVES
common.quit,QUIT,QUIT,QUIT,QUIT,QUIT
popup.daily_reward.title,DAILY REWARD,DAILY REWARD,DAILY REWARD,DAILY REWARD,DAILY REWARD
popup.daily_reward.day_fmt,DAY {0},DAY {0},DAY {0},DAY {0},DAY {0}
shop.tab_coins,COINS,COINS,COINS,COINS,COINS
shop.tab_items,ITEMS,ITEMS,ITEMS,ITEMS,ITEMS
shop.tab_skins,SKINS,SKINS,SKINS,SKINS,SKINS
footer.privacy,PRIVACY POLICY,PRIVACY POLICY,PRIVACY POLICY,PRIVACY POLICY,PRIVACY POLICY
footer.support,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT
popup.streak_reward.title,Reward Available,보상 받기,奖励已到,獎勵已到,รางวัลพร้อมแล้ว
popup.streak_reward.body,Go to Lobby to claim your Streak Challenge reward.,로비로 이동하여 연속 챌린지 보상을 받으세요.,前往大厅领取连续挑战奖励。,前往大廳領取連續挑戰獎勵。,ไปที่ล็อบบี้เพื่อรับรางวัลการท้าทายต่อเนื่อง
popup.streak_reward.btn_lobby,Go to Lobby,로비로 이동,前往大厅,前往大廳,ไปที่ล็อบบี้
popup.streak_reward.btn_continue,Continue,계속하기,继续,繼續,ดำเนินต่อ
shop.confirm.title,Purchase,구매,购买,購買,ซื้อ
shop.confirm.balance_label,Balance,보유 재화,余额,餘額,ยอดคงเหลือ
shop.confirm.cost_label,Cost,차감 재화,费用,費用,ค่าใช้จ่าย
shop.confirm.after_label,After Purchase,차감 후 재화,购买后余额,購買後餘額,หลังซื้อ
shop.result.success_title,Purchase Complete,구매 완료,购买完成,購買完成,ซื้อสำเร็จ
shop.result.fail_title,Purchase Failed,구매 실패,购买失败,購買失敗,ซื้อล้มเหลว
item.obstacle_remover.desc,Highlight obstacle cells on the board and remove one by tapping it.,보드의 장애물 셀을 하이라이트하고 탭하여 하나를 제거합니다.,高亮棋盘上的障碍格，点击即可移除一个。,高亮棋盤上的障礙格，點擊即可移除一個。,ไฮไลท์เซลล์อุปสรรคบนบอร์ดและแตะเพื่อลบออกหนึ่งเซลล์
item.node_pair_eraser.desc,Highlight all nodes on the board and remove one pair by tapping a node.,보드의 모든 노드를 하이라이트하고 탭하여 노드 쌍 하나를 제거합니다.,高亮棋盘上所有节点，点击即可移除一对节点。,高亮棋盤上所有節點，點擊即可移除一對節點。,ไฮไลท์โหนดทั้งหมดบนบอร์ดและแตะเพื่อลบคู่โหนดหนึ่งคู่
item.move_reducer.desc,Reduces your current move count by 3. Cannot be used if moves used is less than 3.,현재 이동 횟수를 3만큼 줄입니다. 이동 횟수가 3 미만이면 사용할 수 없습니다.,将当前移动次数减少3次。移动次数不足3次时无法使用。,將目前移動次數減少3次。移動次數少於3次時無法使用。,ลดจำนวนการเคลื่อนที่ปัจจุบัน 3 ครั้ง ไม่สามารถใช้ได้หากน้อยกว่า 3
item.time_extender.desc,Adds 20 seconds to the remaining time.,남은 시간에 20초를 추가합니다.,为剩余时间增加20秒。,為剩餘時間增加20秒。,เพิ่ม 20 วินาทีให้กับเวลาที่เหลืออยู่
